ID	Pe	Time	Y
78	78	10	67.4390539
79	79	10	79.4732206
80	80	10	86.0273872
81	81	10	99.1330539
82	82	10	81.7477206
83	83	10	120.2850539
84	84	10	91.6530539
85	85	10	77.6653872
86	86	10	84.1643872
87	87	10	88.2970539
88	88	10	78.5572206
89	89	10	72.8443872
1	1	11	117.4691836
2	2	11	104.1998503
3	3	11	90.5541836
4	4	11	87.6691836
5	5	11	80.4721836
6	6	11	110.3621836
7	7	11	70.4016836
8	8	11	107.8158503
9	9	11	116.5681836
10	10	11	103.7318503
11	11	11	106.1285169
12	12	11	136.0895169
13	13	11	91.3171836
14	14	11	117.7745169
15	15	11	77.2903503
16	16	11	111.7355169
17	17	11	111.1491836
18	18	11	76.0345169
19	19	11	83.0811836
20	20	11	118.8618503
21	21	11	127.6591836
22	22	11	122.0495169
23	23	11	121.8008503
24	24	11	106.2278503
25	25	11	126.0271836
26	26	11	112.8958503
27	27	11	92.9108503
28	28	11	92.2925169
29	29	11	142.6198503
30	30	11	164.8561836
31	31	11	75.8828503
32	32	11	94.3468503
33	33	11	156.1195169
34	34	11	101.5888503
35	35	11	102.2315169
36	36	11	117.3108503
37	37	11	93.1355169
38	38	11	120.3845169
39	39	11	77.4491836
40	40	11	102.1346836
41	41	11	113.7431836
42	42	11	119.8391836
43	43	11	144.5651836
44	44	11	105.3571836
45	45	11	126.3445169
46	46	11	104.2550169
47	47	11	100.4651836
48	48	11	144.4516836
49	49	11	114.5958503
50	50	11	108.0125169
51	51	11	110.6355169
52	52	11	140.1281836
53	53	11	141.0401836
54	54	11	119.2433503
55	55	11	133.8635169
56	56	11	90.1261836
57	57	11	74.9181836
58	58	11	109.7028503
59	59	11	89.2515169
60	60	11	120.3165169
61	61	11	90.6628503
62	62	11	95.2371836
63	63	11	111.8945169
64	64	11	146.6791836
65	65	11	150.5928503
66	66	11	124.3078503
67	67	11	90.9063503
68	68	11	83.1778503
69	69	11	122.0435169
70	70	11	139.0645169
71	71	11	99.7355169
72	72	11	98.7061836
73	73	11	112.1051836
74	74	11	148.7471836
75	75	11	131.5606836
76	76	11	90.3601836
77	77	11	139.9358503
78	78	11	79.7948503
79	79	11	93.4971836
80	80	11	101.7588503
81	81	11	117.2431836
82	82	11	97.4740169
83	83	11	151.4045169
84	84	11	106.3251836
85	85	11	89.0665169
86	86	11	97.0205169
87	87	11	103.7048503
88	88	11	91.4488503
89	89	11	85.8371836
1	1	12	134.5168913
2	2	12	126.5292246
3	3	12	104.8762246
4	4	12	99.8702246
5	5	12	96.5898913
6	6	12	128.5422246
7	7	12	80.8100579
8	8	12	123.6743913
9	9	12	136.4188913
10	10	12	123.7248913
11	11	12	121.9505579
12	12	12	161.0633913
13	13	12	105.7842246
14	14	12	141.4898913
15	15	12	92.0017246
16	16	12	133.6372246
17	17	12	129.1878913
18	18	12	86.5065579
19	19	12	96.5615579
20	20	12	141.2768913
21	21	12	145.9382246
22	22	12	147.1718913
23	23	12	150.2265579
24	24	12	124.2523913
25	25	12	142.8515579
26	26	12	133.2822246
27	27	12	106.5797246
28	28	12	105.6327246
29	29	12	175.1913913
30	30	12	196.0855579
31	31	12	90.6715579
32	32	12	111.5308913
33	33	12	183.0362246
34	34	12	119.4822246
35	35	12	117.5698913
36	36	12	138.8890579
37	37	12	106.6710579
38	38	12	141.9618913
39	39	12	92.9238913
40	40	12	123.6802246
41	41	12	132.8203913
42	42	12	143.5465579
43	43	12	174.6045579
44	44	12	125.9442246
45	45	12	146.4958913
46	46	12	119.5818913
47	47	12	111.8838913
48	48	12	167.4458913
49	49	12	136.1063913
50	50	12	131.5325579
51	51	12	128.9942246
52	52	12	169.1458913
